GLOBI:bioinfo:taxon:160471@Fusarium oxysporum f.sp. narcissi|OTT:404217	IF:218372|NCBI:330941|NCBI:59765|NCBI:61369|NCBI:62683|NCBI:120042|NCBI:120297|NCBI:61364|NCBI:96317|NCBI:61374|NCBI:96318|NCBI:42551|NCBI:100902|NCBI:61370|NCBI:120040	13	2
GLOBI:EOL:1275684@Fusarium oxysporum f . lilii|OTT:404217	IF:218372|NCBI:330941|NCBI:59765|NCBI:61369|NCBI:62683|NCBI:120042|NCBI:120297|NCBI:61364|NCBI:96317|NCBI:61374|NCBI:96318|NCBI:42551|NCBI:100902|NCBI:61370|NCBI:120040	13	2
GLOBI:NCBITaxon:909455@Fusarium oxysporum Schltdtl.|OTT:404217	IF:218372|NCBI:330941|NCBI:59765|NCBI:61369|NCBI:62683|NCBI:120042|NCBI:120297|NCBI:61364|NCBI:96317|NCBI:61374|NCBI:96318|NCBI:42551|NCBI:100902|NCBI:61370|NCBI:120040	13	2
GLOBI:EOL:18300362@Fusarium oxysporum f. apii|OTT:404217	IF:218372|NCBI:330941|NCBI:59765|NCBI:61369|NCBI:62683|NCBI:120042|NCBI:120297|NCBI:61364|NCBI:96317|NCBI:61374|NCBI:96318|NCBI:42551|NCBI:100902|NCBI:61370|NCBI:120040	13	2
GLOBI:EOL:1261638@Fusarium oxysporum f. sp. Elaeidis|OTT:404217	IF:218372|NCBI:330941|NCBI:59765|NCBI:61369|NCBI:62683|NCBI:120042|NCBI:120297|NCBI:61364|NCBI:96317|NCBI:61374|NCBI:96318|NCBI:42551|NCBI:100902|NCBI:61370|NCBI:120040	13	2
GLOBI:NCBITaxon:909455@Fusarium oxysporum (Schl.) emend. Synd. & Hans.|OTT:404217	IF:218372|NCBI:330941|NCBI:59765|NCBI:61369|NCBI:62683|NCBI:120042|NCBI:120297|NCBI:61364|NCBI:96317|NCBI:61374|NCBI:96318|NCBI:42551|NCBI:100902|NCBI:61370|NCBI:120040	13	2
GLOBI:null@TRICHONEMA|OTT:5349350	WORMS:603083|GBIF:7238117|GBIF:7617769	1	2
GLOBI:NCBITaxon:909455@Fusarium oxysporum f. sp. medicaginis (Weimer) W. C. Snyder & H. N. Hansen|OTT:404217	IF:218372|NCBI:330941|NCBI:59765|NCBI:61369|NCBI:62683|NCBI:120042|NCBI:120297|NCBI:61364|NCBI:96317|NCBI:61374|NCBI:96318|NCBI:42551|NCBI:100902|NCBI:61370|NCBI:120040	13	2
GLOBI:NCBITaxon:909455@Fusarium oxysporum Schlecht.|OTT:404217	IF:218372|NCBI:330941|NCBI:59765|NCBI:61369|NCBI:62683|NCBI:120042|NCBI:120297|NCBI:61364|NCBI:96317|NCBI:61374|NCBI:96318|NCBI:42551|NCBI:100902|NCBI:61370|NCBI:120040	13	2
GLOBI:NCBITaxon:909455@Fusarium oxysporum f. sp. batatas (Woolenw.) W. C. Snyder & H. N. Hansen|OTT:404217	IF:218372|NCBI:330941|NCBI:59765|NCBI:61369|NCBI:62683|NCBI:120042|NCBI:120297|NCBI:61364|NCBI:96317|NCBI:61374|NCBI:96318|NCBI:42551|NCBI:100902|NCBI:61370|NCBI:120040	13	2
GLOBI:EOL:91848@Herpetomonas muscarum|OTT:222232	GBIF:7560242|WORMS:601698|WORMS:562572|NCBI:5714	1	2
GLOBI:NCBITaxon:909455@Fusarium oxysporum Schlechtend.|OTT:404217	IF:218372|NCBI:330941|NCBI:59765|NCBI:61369|NCBI:62683|NCBI:120042|NCBI:120297|NCBI:61364|NCBI:96317|NCBI:61374|NCBI:96318|NCBI:42551|NCBI:100902|NCBI:61370|NCBI:120040	13	2
GLOBI:EOL:18299500@Fusarium oxysporum var. orthoceras|OTT:404217	IF:218372|NCBI:330941|NCBI:59765|NCBI:61369|NCBI:62683|NCBI:120042|NCBI:120297|NCBI:61364|NCBI:96317|NCBI:61374|NCBI:96318|NCBI:42551|NCBI:100902|NCBI:61370|NCBI:120040	13	2
GLOBI:NCBITaxon:909455@Fusarium oxysporum f. sp. passiflorae W. L. Gordon apud G. S. Purss|OTT:404217	IF:218372|NCBI:330941|NCBI:59765|NCBI:61369|NCBI:62683|NCBI:120042|NCBI:120297|NCBI:61364|NCBI:96317|NCBI:61374|NCBI:96318|NCBI:42551|NCBI:100902|NCBI:61370|NCBI:120040	13	2
GLOBI:EOL:1261639@Fusarium oxysporum cubense|OTT:404217	IF:218372|NCBI:330941|NCBI:59765|NCBI:61369|NCBI:62683|NCBI:120042|NCBI:120297|NCBI:61364|NCBI:96317|NCBI:61374|NCBI:96318|NCBI:42551|NCBI:100902|NCBI:61370|NCBI:120040	13	2
GLOBI:NBN:NHMSYS0021048543@no name|OTT:566285	GBIF:2319170|WORMS:129580|WORMS:325656	1	2
GLOBI:NCBITaxon:909455@Fusarium oxysporum f. sp. phaseoli J. B. Kendr. & W. C. Snyder|OTT:404217	IF:218372|NCBI:330941|NCBI:59765|NCBI:61369|NCBI:62683|NCBI:120042|NCBI:120297|NCBI:61364|NCBI:96317|NCBI:61374|NCBI:96318|NCBI:42551|NCBI:100902|NCBI:61370|NCBI:120040	13	2
